game_id,white_rating,rolling_10_white
492,1684,1652.7
493,1733,1656.8
494,1721,1660.1
495,1724,1662.6
496,1746,1666.9
497,1741,1671.6
498,1295,1631.5
499,1430,1617.3
500,1302,1608.3
501,1314,1569.0
502,1445,1545.1
503,1321,1503.9
504,1300,1461.8
505,1318,1421.2
506,1450,1391.6
507,1290,1346.5
508,1300,1347.0
509,1209,1324.9
510,1299,1324.6
511,1814,1374.6
512,1348,1364.9
513,1318,1364.6
514,1324,1367.0
515,1345,1369.7
516,1352,1359.9
517,1350,1365.9
518,1403,1376.2
519,1322,1387.5
520,1331,1390.7
521,1373,1346.6
522,1350,1346.8
523,1270,1342.0
524,1223,1331.9
525,1289,1326.3
526,1007,1291.8
527,1170,1273.8
528,1442,1277.7
529,1172,1262.7
530,1178,1247.4
531,1171,1227.2
532,1175,1209.7
533,1273,1210.0
534,1154,1203.1
535,1167,1190.9
536,1439,1234.1
537,1245,1241.6
538,1250,1222.4
539,1164,1221.6
540,1173,1221.1
541,1089,1212.9
542,1278,1223.2
543,1178,1213.7
544,1164,1214.7
545,1353,1233.3
546,1030,1192.4
547,1176,1185.5
548,1353,1195.8
549,1184,1197.8
550,1171,1197.6
551,1157,1204.4
552,1034,1180.0
553,1156,1177.8
554,1142,1175.6
555,1042,1144.5
556,1123,1153.8
557,1247,1160.9
558,1070,1132.6
559,1099,1124.1
560,1114,1118.4
561,914,1094.1
562,1125,1103.2
563,1242,1111.8
564,1133,1110.9
565,981,1104.8
566,1111,1103.6
567,1126,1091.5
568,1147,1099.2
569,914,1080.7
570,1984,1167.7
571,1954,1271.7
572,2008,1360.0
573,1954,1431.2
574,2008,1518.7
575,1954,1616.0
576,2100,1714.9
577,1945,1796.8
578,1982,1880.3
579,1974,1986.3
580,2068,1994.7
581,1959,1995.2
582,2005,1994.9
583,1960,1995.5
584,1964,1991.1
585,1914,1987.1
586,1951,1972.2
587,2149,1992.6
588,1599,1954.3
589,1882,1945.1
590,1699,1908.2
591,1916,1903.9
592,1936,1897.0
593,1758,1876.8
594,1265,1806.9
595,1954,1810.9
596,1984,1814.2
597,2050,1804.3
598,1627,1807.1
599,2050,1823.9
600,1627,1816.7
601,1617,1786.8
602,2050,1798.2
603,1981,1820.5
604,2050,1899.0
605,1901,1893.7
606,1164,1811.7
607,1435,1750.2
608,1164,1703.9
609,1164,1615.3
610,1245,1577.1
611,1287,1544.1
612,1866,1525.7
613,1211,1448.7
614,1344,1378.1
615,1834,1371.4
616,1500,1405.0
617,1635,1425.0
618,1456,1454.2
619,1378,1475.6
620,1500,1501.1
621,1714,1543.8
622,1613,1518.5
623,1731,1570.5
624,1739,1610.0
625,1760,1602.6
626,1708,1623.4
627,1721,1632.0
628,1707,1657.1
629,1170,1636.3
630,1261,1612.4
631,1100,1551.0
632,1590,1548.7
633,1100,1485.6
634,1302,1441.9
635,1234,1389.3
636,1522,1370.7
637,2306,1429.2
638,2422,1500.7
639,2373,1621.0
640,2325,1727.4
641,2336,1851.0
642,2334,1925.4
643,2329,2048.3
644,1879,2106.0
645,2323,2214.9
646,1622,2224.9
647,1933,2187.6
648,1983,2143.7
649,2312,2137.6
650,1866,2091.7
651,1835,2041.6
652,2300,2038.2
653,2288,2034.1
654,2283,2074.5
655,2275,2069.7
656,1909,2098.4
657,2263,2131.4
658,1293,2062.4
659,2257,2056.9
660,2191,2089.4
661,1380,2043.9
662,1796,1993.5
663,1879,1952.6
664,2217,1946.0
665,2336,1952.1
666,2175,1978.7
667,2161,1968.5
668,2150,2054.2
669,1976,2026.1
670,1830,1990.0
671,2001,2052.1
672,2104,2082.9
673,1918,2086.8
674,2082,2073.3
675,1774,2017.1
676,1778,1977.4
677,1783,1939.6
678,1788,1903.4
679,1609,1866.7
680,1701,1853.8
681,2091,1862.8
682,1931,1845.5
683,1408,1794.5
684,1398,1726.1
685,1387,1687.4
686,1394,1649.0
687,1479,1618.6
688,1371,1576.9
689,1372,1553.2
690,1351,1518.2
691,1209,1430.0
692,1221,1359.0
693,1332,1351.4
694,1528,1364.4
695,1231,1348.8
696,1142,1323.6
697,1263,1302.0
698,1392,1304.1
699,1906,1357.5
700,1841,1406.5
701,1905,1476.1
702,1467,1500.7
703,1478,1515.3
704,1500,1512.5
705,1478,1537.2
706,1478,1570.8
707,1453,1589.8
708,1466,1597.2
709,1466,1553.2
710,1466,1515.7
711,1479,1473.1
712,1566,1483.0
713,1454,1480.6
714,1444,1475.0
715,1387,1465.9
716,1417,1459.8
717,1436,1458.1
718,1455,1457.0
719,1318,1442.2
720,1437,1439.3
721,1448,1436.2
722,1308,1410.4
723,1708,1435.8
724,1960,1487.4
725,1969,1545.6
726,1325,1536.4
727,1325,1525.3
728,1322,1512.0
729,1224,1502.6
730,1353,1494.2
731,1131,1462.5
732,1197,1451.4
733,1163,1396.9
734,1362,1337.1
735,1348,1275.0
736,1375,1280.0
737,911,1238.6
738,1030,1209.4
739,1352,1222.2
740,2035,1290.4
741,1787,1356.0
742,1810,1417.3
743,1783,1479.3
744,1723,1515.4
745,1645,1545.1
746,1800,1587.6
747,1798,1676.3
748,1602,1733.5
749,1415,1739.8
750,1758,1712.1
751,1815,1714.9
752,1800,1713.9
753,1820,1717.6
754,1830,1728.3
755,1914,1755.2
756,1856,1760.8
757,2153,1796.3
758,2474,1883.5
759,2469,1988.9
760,2220,2035.1
761,1973,2050.9
762,2465,2117.4
763,2460,2181.4
764,2104,2208.8
765,2301,2247.5
766,2447,2306.6
767,2306,2321.9
768,2432,2317.7
769,2255,2296.3
770,2428,2317.1
771,2208,2340.6
772,2418,2335.9
773,2083,2298.2
774,2409,2328.7
775,2281,2326.7
776,2015,2283.5
777,1426,2195.5
778,1437,2096.0
779,1719,2042.4
780,1689,1968.5
781,1672,1914.9
782,1695,1842.6
783,1706,1804.9
784,1687,1732.7
785,1728,1677.4
786,1648,1640.7
787,1719,1670.0
788,1648,1691.1
789,1696,1688.8
790,1732,1693.1
791,1833,1709.2
792,1433,1683.0
793,1729,1685.3
794,1722,1688.8
795,1713,1687.3
796,1605,1683.0
797,1690,1680.1
798,1622,1677.5
799,1702,1678.1
800,1568,1661.7
801,1707,1649.1
802,1453,1651.1
803,1735,1651.7
804,1744,1653.9
805,1854,1668.0
806,1705,1678.0
807,1709,1679.9
808,1694,1687.1
809,1651,1682.0
810,1706,1695.8
811,1683,1693.4
812,1707,1718.8
813,1758,1721.1
814,1713,1718.0
815,1724,1705.0
816,1730,1707.5
817,2334,1770.0
818,1680,1768.6
819,1774,1780.9
